un(e) commercant(e),a shopkeeper; a retailer,0
un(e) locataire,a tenant,0
les bidonvilles,slums; shanty towns,0
un emprunt (immobilier),a loan; a mortgage,0
un cartoon satirique,a satirical cartoon,0
Dans quelle mesure,To what extenT,0
transmettre;acheminer,to convey,0
sceptique,sceptical,0
concret,tangible,0
hypnotisant; captivant; fascinant,mesmerizing,0
j'en veux a qqn pour quelque chose,I resent someone for +ing,0
la rive du fleuve; de la mer,the river bank,0
ni... ni...,neither... nor...,0
le versant d'une montagne,slope of a mountain,0
avoir de la rancune a l'egard de,to bear a grudge against,0
marches du travail,labor; labour markets,0
d'une part;... d'autre part,on the one hand/on the other hand,0
a court/moyen/long terme,over the short; medium; long term,0
ennuyeux; penible; fastidieux,tedious,0
les chaines d'assemblages; le montage a la chaine,assembly lines,0
sous-traiter; externaliser,outsourcing; subcontracting,0
payements sans contact,contactless payments,0
la fracture numerique,the digital divide,0
zones eloignees; isolees,remote areas,0
mediatisation,media coverage,0
actionnaires,stockholders; shareholders,0
homme de main,handyman,0
poursuivre en justice,to sue,0
Les Etats-Unis sont beaux,The US is pretty,0
lamentable,dreadful,0
dislocation; perturbation,disruption; shattering,0
raffine,sophisticated; fancy,0
adolescence,teenage years,0
seconde; premiere; terminale,10th grade; 11th grade; 12th grade,0
responsable de, responsible FOR,0
legerement modifie,slightly changed,0
leger changement,slight change,0
Un an de silence,a year's silence,0
une augmentation de 3%, a increase BY 3%,0
covoiturage,car pool,0
un frais,a fee,0
un bilan,a toll,0
attenuer; diminuer,to mitigate,0
prejuge sexiste,sexist prejudice,0
militer,to campaign,0
jongler pour concilier carriere et famille,to juggle a career and a family,0
les taches menageres,chores,0
maladroit,clumsy,0
repandu; frequent,prevalent,0
brevet,a patent,0
sensible,sensitive,0
etre cense,to be sensible,0
poser sa candidature,to apply to,0
accuser,to indict,0
condamner,to convict,0
mitiger; attenuer,to mitigate,0
exhaustif,comprehensive,0
comprehensif,understanding,0
envisager,to contemplate,0
compatissant,sympathetic; compassionnate,0
etre bourre,to be intoxicated,0
elegant,smart,0
menacer; oppresser,to loom,0
un atelier clandestin,a sweatshop,0
flagrant,blatant,0
negligeable,neglictible,0
reduire graduellement,to phase down,0
reduire graduellement jusqu'a extinction,to phase out,0
une retraite,a pensioner,0
tromper,to mislead; to deceive,0
la vente au detail,retail,0
un expert comptable,an accountant,0
prudent,cautious,0
diffamer,to slander,0
un quai (de train),a platform,0
arroser (des plantes),to water,0
se debarasser,to shed,0
les degats,damage,0
les dommages et interets,damages,0
faire la moisson,to harvest; to crop,0
au travers d'un intermediaire,by proxy,0
augmente; booste,augmented; enhanced,0
subventions,subsidies,0
engagement,commitment,0
dramatique,tragic,0
impressionnant,dramatic,0
coupable (judiciaire), a culprit,0
economique (lie a l'economie),economic,0
economique (consomme peu),economical,0
mettre en lumiere,to shed light on,0
pourtant,yet,0
discrimination positive,affirmative action,0
presomption d'innocence,presumption of innocence,0
manquer de,to lack something,0
due en partie,due in part,0